cited_articletitle,cited_year,cited_journal,citing_articletitle,citing_year,citing_journal
Interaction between heptad repeat 1 and 2 regions in spike protein of SARS-associated coronavirus: implications for virus fusogenic mechanism and identification of fusion inhibitors,2004,Lancet,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Structure-based discovery of Middle East respiratory syndrome coronavirus fusion inhibitor,2014,Nat. Commun,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Fusion mechanism of 2019-nCoV and fusion inhibitors targeting HR1 domain in spike protein,2020,Cell. Mol. Immunol,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
"GS-5734 and its parent nucleoside analog inhibit Filo-, Pneumo-, and Paramyxoviruses",2017,Sci. Rep,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Broad spectrum antiviral remdesivir inhibits human endemic and zoonotic deltacoronaviruses with a highly divergent RNA dependent RNA polymerase,2019,Antiviral Research,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Therapeutic efficacy of the small molecule GS-5734 against Ebola virus in rhesus monkeys,2016,Nature,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
"Ribavirin, remdesivir, sofosbuvir, galidesivir, and tenofovir against SARS-CoV-2 RNA dependent RNA polymerase (RdRp): a molecular docking study",,Life Sci,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Safe and sensitive antiviral screening platform based on recombinant human coronavirus OC43 expressing the luciferase reporter gene,2016,Antimicrob. Agents Chemother,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Inhibition of novel β coronavirus replication by a combination of interferon-α2b and ribavirin,2013,Sci. Rep,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Treatment with interferon-α2b and ribavirin improves outcome in MERS-CoVinfected rhesus macaques,2013,Nat. Med,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Clinical outcomes of current medical approaches for Middle East respiratory syndrome: a systematic review and meta-analysis,2018,Rev. Med. Virol,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
SARS: systematic review of treatment effects,2006,PLoS Med,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Week 96 efficacy of lopinavir/ritonavir monotherapy in virologically suppressed patients with HIV: a randomized non-inferiority trial (ANRS 140 DREAM),2018,J. Antimicrob. Chemother,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Aging with Dignity. (n.d.) Five Wishes,,,Grief During the COVID-19 Pandemic: Considerations for Palliative Care Providers,2020,Journal of Pain and Symptom Management
Pharmacokinetics and drug-drug interactions of lopinavirritonavir administered with first-and second-line antituberculosis drugs in HIV-infected children treated for multidrug-resistant tuberculosis,2018,Antimicrob. Agents Chemother,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Treatment with lopinavir/ritonavir or interferon-β1b improves outcome of MERS-CoV infection in a nonhuman primate model of common marmoset,2015,J. Infect. Dis,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
TMPRSS2 contributes to virus spread and immunopathology in the airways of murine models after coronavirus infection,2019,J. Virol,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Remdesivir and chloroquine effectively inhibit the recently emerged novel coronavirus (2019-nCoV) in vitro,2020,Cell Research,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
"A Randomized, Controlled Trial of Ebola Virus Disease Therapeutics",2019,N Engl J Med,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Case of the Index Patient Who Caused Tertiary Transmission of COVID-19 Infection in Korea: the Application of Lopinavir/Ritonavir for the Treatment of COVID-19 Infected Pneumonia Monitored by Quantitative RT-PCR,2020,J. Korean Med. Sci,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Clinical Characteristics of Coronavirus Disease 2019 in China,,N Engl J Med,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Prophylactic and therapeutic remdesivir (GS-5734) treatment in the Rhesus macaque model of MERS-CoV infection,2020,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Coronaviruses-drug discovery and therapeutic options,2016,Nat. Rev. Drug Discov,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Structure of dimeric full-length human ACE2 in complex with B 0 AT1. bioRxiv,2020,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Ribavirin and interferon therapy for critically ill patients with Middle East respiratory syndrome: a multicenter observational study,2019,Clin. Infect. Dis,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Chloroquine is a potent inhibitor of SARS coronavirus infection and spread,,Virol. J,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Moral distress: Recognizing it to retain nurses,2007,Nursing economics,Grief During the COVID-19 Pandemic: Considerations for Palliative Care Providers,2020,Journal of Pain and Symptom Management
New insights into the antiviral effects of chloroquine,2006,Lancet Infect. Dis,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Efficacy and safety of adjunctive corticosteroids therapy for patients with severe community-acquired pneumonia: a systematic review and meta-analysis,2019,Medicine (Baltimore),"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Inhibitors of RAS might be a good choice for the therapy of COVID-19 pneumonia,,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Zhonghua Jie He He Hu Xi Za Zhi,2020,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Lessons Learned During the COVID-19 Virus Pandemic,2020,Journal of the American College of Surgeons,Ongoing Lessons During the COVID-19 Pandemic,2020,Journal of the American College of Surgeons
Genome Composition and Divergence of the Novel Coronavirus (2019-nCoV) Originating in China,2020,Cell Host 302 Microbe,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
A Novel Coronavirus from Patients with Pneumonia in China,2019,The New England journal of medicine 2020,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Corticosteroid Therapy for Critically Ill Patients with Middle East Respiratory Syndrome,2018,American Journal of Respiratory and Critical Care Medicine,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
The emotional impact of Coronavirus 2019-nCoV (new Coronavirus disease),2020,Psychiatry Res,The emotional impact of COVID-19: From medical staff to common people,2020,"Brain, Behavior, and Immunity"
The novel coronavirus 2019 (2019-nCoV) uses the SARS-coronavirus receptor ACE2 and the cellular protease TMPRSS2 for entry into target cells,,BioRxiv,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Characteristics of lymphocyte subsets and cytokines inperipheral blood of 123 hospitalized patients with 2019 novel coronavirus pneumonia (NCP),2020,,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Sep-14; CPG,,Family Medicine; Gynaecology,JOGC Guidelines index English,2020,Journal of Obstetrics and Gynaecology Canada
The Zarit Burden Interview: a new short version and screening version,2001,Gerontologist,The family caregiving crisis meets an actual pandemic,2020,Journal of Pain and Symptom Management
Feasibility and Acceptability of Distress Screening for Family Caregivers at a Cancer Surgery Center,2019,Oncol Nurs Forum,The family caregiving crisis meets an actual pandemic,2020,Journal of Pain and Symptom Management
A systematic review of telehealth tools and interventions to support family caregivers,2015,J Telemed Telecare,The family caregiving crisis meets an actual pandemic,2020,Journal of Pain and Symptom Management
COVID-Ready Communication Skills: A playbook of VitalTalk Tips,2020,,The family caregiving crisis meets an actual pandemic,2020,Journal of Pain and Symptom Management
Center to Advance Palliative Care. CAPC COVID-19 Response Resources. 2020,2020,,The family caregiving crisis meets an actual pandemic,2020,Journal of Pain and Symptom Management
Dyadic Interventions for Cancer Survivors and Caregivers: State of the Science and New Directions,2019,Semin Oncol Nurs,The family caregiving crisis meets an actual pandemic,2020,Journal of Pain and Symptom Management
Family Caregiving Alliance. Coronavirus (COVID-19) Resources and Articles for Family Caregivers,2020,,The family caregiving crisis meets an actual pandemic,2020,Journal of Pain and Symptom Management
National Consensus Project for Quality Palliative Care. Clinical Practice Guidelines for Quality Palliative Care,2018,,The family caregiving crisis meets an actual pandemic,2020,Journal of Pain and Symptom Management
ACE2: from vasopeptidase to SARS virus receptor,2004,Trends Pharmacol. Sci,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Japanese encephalitis virus: from genome to infectome,2011,347 Microbes Infect,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Unique epidemiological and clinical features of the emerging 2019 novel coronavirus pneumonia (COVID-19) implicate special control measures,2020,J. Med. Virol,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Laboratory-confirmed respiratory infections as triggers for acute myocardial infarction and stroke: a self-controlled case series analysis of national linked datasets from Scotland,2018,Eur. Respir. J,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
State of Knowledge and Data Gaps of Middle East Respiratory Syndrome Coronavirus (MERS-CoV) in Humans,2013,PLoS Curr,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Pathogenesis and diagnosis of viral infections of the nervous system,2008,Neurol Clin,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Lack of Major Histocompatibility complex class I upregulation and restrictive infection by JC virus hamper detection of neurons by T lymphocytes in the central nervous system,2015,J. Neuropathol. Exp. Neurol,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Pathological findings of COVID-19 associated with acute respiratory distress syndrome,2020,The Lancet Respiratory Medicine,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Angiotensin-converting enzyme 2 (ACE2) mediates influenza H7N9 virus-induced acute lung injury,2014,,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Encephalopathy of infection and systemic inflammation,2013,J. Clin. Neurophysiol,Nervous system involvement after infection with COVID-19 and other coronaviruses,2020,"Brain, Behavior, and Immunity"
Traumatization in medical staff helping with COVID-19 control,2020,"Brain, Behavior, and Immunity",The emotional impact of COVID-19: From medical staff to common people,2020,"Brain, Behavior, and Immunity"
Fear of the novel coronavirus,2020,J. Infect. Dev. Countries,The emotional impact of COVID-19: From medical staff to common people,2020,"Brain, Behavior, and Immunity"
"Vicarious traumatization in the general public, members, and non-members of medical teams aiding in COVID-19 control",2020,Brain. Behav. Immun,The emotional impact of COVID-19: From medical staff to common people,2020,"Brain, Behavior, and Immunity"
Editorial Board of Chinese Critical Care Medicine Xuebijing injection versus placebo for critically ill patients with severe community-acquired pneumonia: a randomized controlled trial: research results and clinical value,,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Effectiveness of traveller screening for emerging pathogens is shaped by epidemiology and natural history of infection,2015,Elife,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Estimated effectiveness of traveller screening to prevent international spread of 2019 novel coronavirus (2019-nCoV) medRxiv,2020,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
A theoretical discussion of the possibility and possible mechanisms of using sesame oil for prevention of 2019-nCoV (COVID-19 coronavirus) from the perspective of colloid and interface science,,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Three-dimensional all-dielectric metamaterial solid immersion lens for subwavelength imaging at visible frequencies,2016,Sci. Adv,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Antiviral activity of glycyrrhizic acid derivatives against SARS-coronavirus,2005,J. Med. Chem,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Potential natural compounds for preventing SARS-CoV-2 (2019-nCoV) infection. Preprints,2020,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
HIV-1 did not contribute to the 2019-nCoV genome,2020,Emerg. Microbes Infect,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Full-genome evolutionary analysis of the novel corona virus (2019-nCoV) rejects the hypothesis of emergence as a result of a recent recombination event,2020,"Infection, Genetics and Evolution","The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
"Severe Acute Respiratory Syndrome Coronavirus 2 from patient with 2019 novel Coronavirus disease, United States",2020,Emerging Infect. Dis,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
A new coronavirus associated with human respiratory disease in China,2020,Nature,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Incubation period of 2019 novel coronavirus (2019-nCoV) infections among travellers from Wuhan,2020,Euro Surveill,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Does SARS-CoV-2 has a longer incubation period than SARS and MERS,2020,J. Med. Virol,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak",2020,Int. J. Infect. Dis,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Estimation of the transmission risk of the 2019-nCoV and Its implication for public health interventions,2020,J. Clin. Med,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Consistent detection of 2019 novel coronavirus in saliva,2020,Clinical Infectious Diseases,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Real-time sequence-validated loop-mediated isothermal amplification assays for detection of Middle East respiratory syndrome coronavirus (MERS-CoV),2015,PLoS One,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Development and evaluation of novel real-time reverse transcription-PCR Assays with locked nucleic acid probes targeting leader sequences of human-pathogenic Coronaviruses,2015,J. Clin. Microbiol,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
A Rapid and Specific Assay for the Detection of,2018,MERS-CoV. Front Microbiol,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
One-pot reverse transcriptional loop-mediated isothermal amplification (RT-LAMP) for detecting MERS-CoV,2016,Front. Microbiol,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
"Improved molecular diagnosis of COVID-19 by the novel, highly sensitive and specific COVID-19-RdRp/Hel real-time reverse transcription-polymerase chain reaction assay validated in vitro and with clinical specimens",2020,J. Clin. Microbiol,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Rapid establishment of laboratory diagnostics for the novel coronavirus SARS-CoV-2 in Bavaria,2020,Euro Surveill,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
"Rapid random access detection of the novel SARS-coronavirus-2 (SARS-CoV-2, previously 2019-nCoV) using an open access protocol for the Panther Fusion",2020,J. Clin. Virol,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR,2020,Euro Surveill,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Positive rate of RT-PCR detection of SARS-CoV-2 infection in 4880 cases from one hospital in,2020,Clin. Chim. Acta,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
The cobas(R) 680 0/880 0 system: a new era of automation in molecular diagnostics,2017,Expert Rev Mol Diagn,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
High--throughput testing of urogenital and extragenital specimens for detection of Chlamydia trachomatis and Neisseria gonorrhoeae with Cobas((R)) CT/NG,2017,Eur J Microbiol Immunol (Bp),"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Ten years of R&D and full automation in molecular diagnosis,2016,Future Microbiol,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Genomic characterisation and epidemiology of 2019 novel coronavirus: Implications for virus origins and receptor binding,2020,Lancet,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Molecular diagnosis of a novel Coronavirus (2019-nCoV) causing an outbreak of pneumonia,2020,Clin Chem,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
Sensitivity of Chest CT for COVID-19: Comparison to RT-PCR,2004,Radiology,"The epidemiology, diagnosis and treatment of COVID-19",2020,International Journal of Antimicrobial Agents
